ma_don,ngay_dat_hang,ma_khach_hang
482,2025-04-29 12:05:40,5980
1062,2025-04-29 12:03:38,275
1726,2025-04-29 12:07:05,5875
2610,2025-04-29 12:05:36,1835
2858,2025-04-29 12:04:29,6987
2861,2025-04-29 12:02:53,8560
4240,2025-04-29 12:05:40,6538
6360,2025-04-29 12:04:04,1667
6462,2025-04-29 12:03:15,7763
6673,2025-04-29 12:07:55,4620
7109,2025-04-29 12:08:11,1018
8118,2025-04-29 12:08:30,3510
8577,2025-04-29 12:08:26,9418
11007,2025-04-29 12:05:52,9074
11488,2025-04-29 12:06:20,6626
15049,2025-04-29 12:07:26,4178
15330,2025-04-29 12:03:30,3037
16105,2025-04-29 12:04:07,632
16415,2025-04-29 12:05:19,8060
18030,2025-04-29 12:04:14,2682
18081,2025-04-29 12:06:15,3808
20296,2025-04-29 12:02:53,5092
20550,2025-04-29 12:03:11,7001
20597,2025-04-29 12:08:21,1083
20724,2025-04-29 12:07:19,5183
20935,2025-04-29 12:08:18,7671
23171,2025-04-29 12:04:08,2017
25141,2025-04-29 12:04:05,5861
28167,2025-04-29 12:03:41,2846
28216,2025-04-29 12:06:45,8912
29938,2025-04-29 12:05:42,5769
30247,2025-04-29 12:03:50,844
30701,2025-04-29 12:06:03,7714
30818,2025-04-29 12:08:14,9855
31986,2025-04-29 12:06:57,2924
33374,2025-04-29 12:07:37,3619
35774,2025-04-29 12:03:43,6739
35997,2025-04-29 12:07:59,6710
37674,2025-04-29 12:08:28,2870
39444,2025-04-29 12:05:27,2189
45186,2025-04-29 12:04:05,5755
46551,2025-04-29 12:04:40,4121
46781,2025-04-29 12:05:23,9879
46987,2025-04-29 12:06:46,3194
50360,2025-04-29 12:02:54,5739
51069,2025-04-29 12:08:36,3821
51689,2025-04-29 12:05:29,3013
51899,2025-04-29 12:02:45,5258
52255,2025-04-29 12:06:57,7508
54570,2025-04-29 12:03:27,398
54579,2025-04-29 12:06:34,5638
55925,2025-04-29 12:03:41,9190
58145,2025-04-29 12:07:00,3339
60336,2025-04-29 12:07:10,2582
63603,2025-04-29 12:07:20,9246
63951,2025-04-29 12:03:19,2312
65378,2025-04-29 12:03:37,1014
65608,2025-04-29 12:05:49,588
66629,2025-04-29 12:03:10,2135
66632,2025-04-29 12:06:03,3872
68818,2025-04-29 12:05:03,3662
70068,2025-04-29 12:04:20,545
70658,2025-04-29 12:05:38,4518
71823,2025-04-29 12:06:16,3095
72216,2025-04-29 12:05:53,2735
72309,2025-04-29 12:07:51,2950
72458,2025-04-29 12:06:32,6616
72869,2025-04-29 12:02:47,7172
74282,2025-04-29 12:03:06,1733
74675,2025-04-29 12:06:08,3945
75432,2025-04-29 12:07:52,7854
76532,2025-04-29 12:05:48,2432
77077,2025-04-29 12:07:07,6306
77468,2025-04-29 12:08:11,2332
78371,2025-04-29 12:05:35,9314
78493,2025-04-29 12:03:55,2883
85895,2025-04-29 12:03:45,4178
86796,2025-04-29 12:04:58,6511
94925,2025-04-29 12:03:03,7290
95702,2025-04-29 12:03:52,9745
96263,2025-04-29 12:06:24,3273
98673,2025-04-29 12:07:44,390
99691,2025-04-29 12:08:04,320
99711,2025-04-29 12:05:34,2804
