ma_cua_hang,ma_mh,so_luong_trong_kho,thoi_gian
37,6401,50,2024-08-23 19:50:38
37,27599,25,2024-07-29 07:27:14
37,43694,29,2024-09-03 20:56:26
37,45621,79,2024-05-08 14:44:01
37,52794,54,2024-12-06 23:20:34
37,55072,33,2024-06-07 06:14:28
37,55180,63,2024-11-08 22:10:46
37,59929,95,2024-09-02 03:05:13
37,65034,17,2024-09-06 11:26:20
37,65409,23,2025-04-06 13:23:03
37,69840,22,2024-09-30 13:09:43
37,74356,100,2024-08-01 19:18:24
37,76460,96,2024-11-28 21:52:46
37,82865,47,2024-05-15 09:00:07
37,100241,49,2024-12-09 03:06:27
37,111324,60,2025-03-31 20:47:39
37,121610,59,2025-04-10 21:35:46
37,122341,53,2025-02-08 06:54:50
37,124782,37,2025-02-23 22:10:04
37,124887,89,2024-10-13 05:37:50
37,128215,65,2024-06-23 19:00:37
37,131930,40,2025-03-09 11:50:49
37,132080,25,2024-11-29 22:38:18
37,157529,97,2024-07-14 03:06:30
37,177701,16,2024-08-12 23:52:55
37,178000,72,2024-08-23 14:18:07
37,194673,63,2024-05-10 05:41:06
37,198173,74,2025-04-16 00:39:30
37,217556,47,2024-11-10 22:30:10
37,231071,11,2024-06-17 06:03:03
37,236492,55,2024-08-08 01:14:16
37,237916,79,2024-07-10 21:21:17
37,237982,94,2024-07-25 19:33:49
37,256598,45,2025-01-08 07:54:18
37,258690,28,2024-12-28 07:02:04
37,265234,19,2024-10-13 10:22:42
37,270781,24,2024-12-31 18:31:01
37,289046,39,2024-11-29 06:03:11
37,290498,76,2024-12-20 02:48:52
37,300460,94,2025-01-20 16:31:21
37,305416,65,2024-12-25 03:59:35
37,308684,64,2025-03-10 20:12:45
37,315384,19,2025-03-25 19:34:18
37,339256,72,2025-01-02 04:01:13
37,347400,65,2024-12-15 23:19:32
37,360151,85,2025-04-16 10:22:25
37,363166,19,2024-10-10 13:53:07
37,365600,14,2024-10-30 20:32:37
37,374403,99,2024-11-16 17:50:44
37,375345,95,2024-08-20 15:34:47
37,388051,21,2024-08-04 14:46:23
37,390169,35,2024-05-21 00:58:15
37,394009,55,2024-07-04 01:47:41
37,396451,22,2025-03-05 16:08:50
37,401597,55,2024-12-10 19:12:09
37,401858,17,2024-09-19 19:41:06
37,408223,85,2024-11-05 14:15:28
37,411414,5,2024-07-12 15:40:18
